word	trans	kk	level	
chicken	雞	/ˋt??k?n/	1	
chief	領袖	/t?if/	1	
child	小孩	/t?a?ld/	1	
Christmas/Xmas	聖誕節	/ˋkr?sm?s/	1	
church	教堂	/t??t?/	1	
city	城市	/ˋs?t?/	1	
class	班級、等級	/kl? s/	1	
clean	乾淨的	/klin/	1	
clear	清晰的	/kl?r/	1	
climb	爬	/kla?m/	1	
clock	時鐘	/kl?k/	1	
close	接近的或關	/klos/	1	
cloud	雲	/kla?d/	1	
coast	海岸	/kost/	1	
coat	大衣	/kot/	1	
cocoa	可可豆	/ˋkoko/	1	
coffee	咖啡	/ˋk?f?/	1	
cola/Coke	可樂	/ˋkol?/ /kok/	1	
cold	冷的	/kold/	1	
color	顏色	/ˋk?l?/	1	
come	來	/k?m/	1	
common	普通的	/ˋk?m?n/	1	
continue	繼續	/k?nˋt?nj?/	1	
cook	煮	/k?k/	1	
cookie/cooky	餅乾	/?k?ki/	1	
cool	酷的	/kul/	1	
corn	玉米	/k?rn/	1	
correct	正確的	/k?ˋr?kt/	1	
cost	花費	/k?st/	1	
count	計算	/ka?nt/	1	
country	國家	/ˋk?ntr?/	1	
course	路線	/kors/	1	
cover	覆蓋	/ˋk?v?/	1	
cow	母牛	/ka?/	1	
cowboy	牛仔	/ka?b??/	1	
crow	烏鴉或啼叫聲	/kro/	1	
cry	哭	/kra?/	1	
cub	幼獸	/k?b/	1	
cup	杯子	/k?p/	1	
cut	切、剪	/k?t/	1	
cute	可愛的	/kjut/	1	
daddy/dad/papa/pa/pop	爸爸	/ˋd?d?/ /d?d/ /ˋp?p?/ /p?/ /p?p/	1	
dance	跳舞	/d? ns/	1	
dancer	舞蹈家	/ˋd?ns?/	1	
danger	危險	/ˋdend??/	1	
dark	黑暗的	/d?rk/	1	
date	日期	/det/	1	
daughter	女兒	/ˋd?t?/	1	
day	一天	/de/	1	
dead	死的	/d?d/	1	
deal	處理	/dil/	1	
dear	親愛的	/d?r/	1	
death	死亡	/d?θ/	1	
December/Dec.	十二月	/d?ˋs?mb?/	1	
decide	決定	/d?ˋsa?d/	1	
deep	深的	/dip/	1	
deer	鹿	/d?r/	1	
desk	桌子	/d?sk/	1	
die	死	/da?/	1	
different	不同的	/ˋd?f?r?nt/	1	
difficult	困難的	/ˋd?f??k?lt/	1	
dig	挖	/d?g/	1	
dinner	晚餐	/ˋd?n?/	1	
direct	指揮	/d?ˋr?kt/	1	
dirty	髒的	/ˋd?t?/	1	
discover	發現	/d?sˋk?v?/	1	
dish	碟	/d??/	1	
do	做	/du/	1	
doctor/doc	醫生	/ˋd?kt?/	1	
dog	狗	/d?g/	1	
doll	玩偶	/d?l/	1	
dollar/buck	元	/ˋd?l?/ /b?k/	1	
door	門	/dor/	1	
dove	鴿子	/d?v/	1	
down	向下	/da?n/	1	
downstairs	樓下的	/?da?nˋst?rz/	1	
dozen	一打	/ˋd?zn/	1	
draw	畫	/dr?/	1	
dream	夢	/drim/	1	
drink	喝	/dr??k/	1	
drive	開車	/dra?v/	1	
driver	司機	/ˋdra?v?/	1	
dry	乾的	/dra?/	1	
duck	鴨子	/d?k/	1	
duckling	小鴨	/ˋd?kl??/	1	
during	在…期間	/ˋdj?r??/	1	
each	各自	/it?/	1	
ear	耳朵	/?r/	1	
early	早的	/ˋ?l?/	1	
earth	地球	/?θ/	1	
east	東方	/ist/	1	
easy	容易的	/ˋiz?/	1	
eat	吃	/it/	1	
edge	邊緣	/?d?/	1	
egg	蛋	/?g/	1	
eight	八	/et/	1	
eighteen	十八	/eˋtin/	1	
eighty	八十	/ˋet?/	1	
either	兩者之一	/ˋi??/	1	
elephant	大象	/ˋ?l?f?nt/	1	
else	其他的	/?ls/	1	
end	結束	/?nd/	1	
enemy	敵人	/ˋ?n?m?/	1	
